Benchmark                  (shape)  Mode  Cnt    Score    Error  Units
EscapeBench.chars      clean_short  avgt   24    9.510 ±  1.128  ns/op
EscapeBench.chars       clean_long  avgt   24   94.026 ±  1.117  ns/op
EscapeBench.chars           sparse  avgt   24  410.407 ±  0.354  ns/op
EscapeBench.chars            dense  avgt   24  225.192 ±  0.282  ns/op
EscapeBench.chars         controls  avgt   24  232.525 ± 17.355  ns/op
EscapeBench.current    clean_short  avgt   24   15.076 ±  0.011  ns/op
EscapeBench.current     clean_long  avgt   24  269.727 ±  0.257  ns/op
EscapeBench.current         sparse  avgt   24  846.941 ± 18.360  ns/op
EscapeBench.current          dense  avgt   24  244.685 ±  0.681  ns/op
EscapeBench.current       controls  avgt   24  310.460 ±  3.384  ns/op
EscapeBench.runs       clean_short  avgt   24   14.447 ±  0.018  ns/op
EscapeBench.runs        clean_long  avgt   24  268.119 ±  0.207  ns/op
EscapeBench.runs            sparse  avgt   24  587.134 ±  0.677  ns/op
EscapeBench.runs             dense  avgt   24  263.560 ±  0.167  ns/op
EscapeBench.runs          controls  avgt   24  323.276 ±  0.743  ns/op
EscapeBench.runsClean  clean_short  avgt   24   14.472 ±  0.106  ns/op
EscapeBench.runsClean   clean_long  avgt   24  268.214 ±  0.538  ns/op
EscapeBench.runsClean       sparse  avgt   24  587.092 ±  0.988  ns/op
EscapeBench.runsClean        dense  avgt   24  266.278 ±  1.090  ns/op
EscapeBench.runsClean     controls  avgt   24  321.373 ±  1.976  ns/op
EscapeBench.runsTable  clean_short  avgt   24    6.990 ±  0.010  ns/op
EscapeBench.runsTable   clean_long  avgt   24   92.416 ±  0.089  ns/op
EscapeBench.runsTable       sparse  avgt   24  430.922 ±  0.241  ns/op
EscapeBench.runsTable        dense  avgt   24  250.042 ±  0.444  ns/op
EscapeBench.runsTable     controls  avgt   24  292.577 ±  1.043  ns/op
